Id,age,education,device,day,month,time_spent,banner_views,banner_views_old,days_elapsed_old,X1,X2,X3,X4,marital_divorced,marital_married,marital_single,outcome_old_failure,outcome_old_na,outcome_old_other,outcome_old_success,job_entrepreneur,job_freelance,job_housekeeper,job_industrial_worker,job_manager,job_retired,job_salesman,job_student,job_teacher,job_technology,job_unemployed
4949,59,0.0,0,6,8,3.9,2,0,-1,0,0,0,0.0736749405334737,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4298,50,2.0,0,5,8,27.15,1,0,-1,0,0,0,0.0938027708677573,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4359,44,2.0,0.0,17,6,24.05,1,0,-1,0,0,0,0.0769796451981914,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5378,31,1.0,0.0,26,5,8.6,5,0,-1,0,0,1,0.0686997258184591,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3095,49,1.0,0.0,5,6,0.45,3,0,-1,0,0,0,0.0880286165634703,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6904,55,1.0,1,21,11,2.25,5,0,-1,1,0,1,0.0854502206162729,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8737,36,1.0,0.0,16,6,33.8,11,0,-1,0,0,1,0.0752909774299566,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7745,32,2.0,0.0,12,5,13.95,3,0,-1,0,0,1,0.0850144353857607,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8217,40,1.0,0.0,20,6,3.85,3,0,-1,0,0,0,0.0764803079548962,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4642,44,1.0,0,19,11,17.65,2,0,-1,0,0,0,0.0868120494616236,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2403,53,1.0,0,19,11,27.55,1,0,-1,0,0,0,0.0781326602872551,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2288,39,1.0,0.0,7,5,4.8,1,0,-1,0,0,1,0.076135311314074,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4718,49,1.0,0,17,4,38.1,1,0,-1,0,0,1,0.0790405461841555,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4506,51,1.0,0.0,13,5,2.45,1,0,-1,0,0,1,0.0927314655094147,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6936,44,1.0,0,28,12,44.15,1,0,-1,0,0,0,0.0975341819040183,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8687,64,0.0,0,16,3,43.55,3,2,155,0,0,0,0.0922321282661195,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4860,32,1.0,0,7,7,14.35,1,0,-1,1,0,1,0.0732663918798685,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7198,42,1.0,0,11,5,1.2,1,7,361,0,1,1,0.0709512828427723,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7678,43,2.0,0,18,7,5.3,1,0,-1,0,0,0,0.0791948867866286,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2883,41,1.0,0,2,2,46.4,1,0,-1,0,0,1,0.0804296116064133,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7577,38,2.0,0,23,10,16.3,2,5,184,0,0,0,0.1106985274090752,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5726,50,1.0,0.0,26,5,1.55,2,0,-1,0,0,1,0.0877925662302761,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7682,36,1.0,0.0,20,5,10.3,2,0,-1,0,0,1,0.1379078677391825,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2355,29,2.0,0,7,12,49.6,3,2,283,0,0,1,0.0954006500463021,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6098,37,2.0,0,13,2,3.05,1,0,-1,0,0,1,0.0739563851615129,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4138,30,2.0,0,7,4,22.75,4,0,-1,0,0,0,0.0754997911862437,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5364,54,1.0,0,2,6,12.35,3,0,-1,0,0,0,0.0879105913968732,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7671,46,1.0,0,17,3,8.4,1,0,-1,0,0,0,0.0816461787082599,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3336,46,1.0,0,21,11,60.6,2,0,-1,0,0,0,0.074156120058831,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
530,59,1.0,0,25,8,10.15,4,0,-1,0,0,0,0.0728033700724492,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7871,59,2.0,0,16,11,7.6,2,5,187,1,0,1,0.0740562526101719,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
379,54,2.0,0,3,6,11.7,2,0,-1,0,0,0,0.081791440451764,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2528,74,1.0,0,19,10,16.65,3,0,-1,0,0,0,0.1098360358070197,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4710,45,1.0,0,29,4,18.9,2,0,-1,0,0,0,0.1000944201332776,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7113,30,2.0,0,13,8,4.75,1,0,-1,0,0,1,0.0800846149655911,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1441,52,1.0,0,11,5,6.05,2,0,-1,1,0,1,0.0731937610081165,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8286,30,0.0,0,5,5,12.45,1,0,-1,0,0,1,0.0751003213916075,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,55,1.0,0,8,7,4.75,1,2,82,0,0,1,0.0806565830806384,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1431,30,1.0,0,7,5,2.3,1,1,170,0,0,1,0.0745011166996531,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8012,30,2.0,0,25,8,6.6,4,0,-1,0,0,0,0.1110526029088664,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3226,31,2.0,0,13,4,8.85,5,0,-1,0,0,1,0.081873150182485,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3252,58,1.0,0,6,8,3.4,2,0,-1,0,0,0,0.0836162911045339,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8864,38,1.0,0,3,2,32.0,1,0,-1,0,0,1,0.0809925008624916,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
247,36,1.0,0,27,8,5.05,2,0,-1,0,0,0,0.0730757358415194,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7817,46,1.0,0.0,20,6,1.4,5,0,-1,0,0,0,0.0735569153668767,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4524,32,1.0,0,20,11,8.15,2,0,-1,0,0,0,0.0787772592740544,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
885,72,2.0,0,1,7,12.5,2,1,65,0,0,0,0.0740017794563579,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4543,55,2.0,0,16,7,7.45,6,0,-1,0,0,1,0.1883863236068491,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3548,46,0.0,0,6,2,3.5,2,1,268,0,0,1,0.0793219908121947,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1722,54,1.0,0.0,28,5,19.7,1,0,-1,0,0,1,0.0730212626877054,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
679,45,1.0,0.0,16,5,2.85,2,0,-1,0,0,1,0.0829081401049516,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4312,43,1.0,0.0,17,6,16.1,5,0,-1,0,0,0,0.0763622827882991,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3183,57,0.0,0,4,2,3.25,1,6,190,0,0,1,0.068590779510831,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2554,31,1.0,0,29,1,19.25,1,0,-1,0,0,0,0.0732573130208995,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4016,29,1.0,0.0,16,5,6.05,1,0,-1,0,0,1,0.079903037786211,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2501,32,2.0,0,18,10,16.4,2,0,-1,0,0,0,0.0811740780418717,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2276,27,1.0,0,13,5,7.45,1,3,87,0,0,0,0.0776605596208668,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7654,32,2.0,0,19,11,7.7,2,1,195,0,0,1,0.0767254371470593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3810,29,1.0,0,2,11,1.8,3,0,-1,0,0,0,0.1666061409402066,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4111,34,1.0,0,20,8,2.65,2,1,85,0,0,1,0.08556824578287,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4395,31,0.0,0,21,7,51.45,7,0,-1,1,0,1,0.0679280228060937,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8422,31,1.0,0.0,29,5,8.65,3,0,-1,1,0,1,0.0728033700724492,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4050,53,0.0,0,30,1,5.2,4,0,-1,0,0,0,0.0728306066493563,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2710,52,0.0,0,6,5,1.7,4,0,-1,1,0,1,0.0767254371470593,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1667,52,1.0,1,15,5,6.8,4,0,-1,1,0,1,0.0822363045412452,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7308,23,2.0,0,4,5,13.95,4,0,-1,0,0,0,0.0735478365079076,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5204,37,2.0,0,21,11,15.8,1,0,-1,0,0,0,0.0729032375211083,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6746,41,2.0,0,9,2,0.3,9,0,-1,0,0,1,0.0807292139523904,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
