Id,age,education,device,day,month,time_spent,banner_views,banner_views_old,days_elapsed_old,X1,X2,X3,X4,marital_divorced,marital_married,marital_single,outcome_old_failure,outcome_old_na,outcome_old_other,outcome_old_success,job_entrepreneur,job_freelance,job_housekeeper,job_industrial_worker,job_manager,job_retired,job_salesman,job_student,job_teacher,job_technology,job_unemployed,<label>
4949,59,0,0,6,8,3.9,2,0,-1,0,0,0,0.073674941,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4298,50,2,0,5,8,27.15,1,0,-1,0,0,0,0.093802771,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4359,44,2,0,17,6,24.05,1,0,-1,0,0,0,0.076979645,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5378,31,1,0,26,5,8.6,5,0,-1,0,0,1,0.068699726,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3095,49,1,0,5,6,0.45,3,0,-1,0,0,0,0.088028617,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6904,55,1,1,21,11,2.25,5,0,-1,1,0,1,0.085450221,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8737,36,1,0,16,6,33.8,11,0,-1,0,0,1,0.075290977,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7745,32,2,0,12,5,13.95,3,0,-1,0,0,1,0.085014435,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8217,40,1,0,20,6,3.85,3,0,-1,0,0,0,0.076480308,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4642,44,1,0,19,11,17.65,2,0,-1,0,0,0,0.086812049,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2403,53,1,0,19,11,27.55,1,0,-1,0,0,0,0.07813266,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2288,39,1,0,7,5,4.8,1,0,-1,0,0,1,0.076135311,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4718,49,1,0,17,4,38.1,1,0,-1,0,0,1,0.079040546,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4506,51,1,0,13,5,2.45,1,0,-1,0,0,1,0.092731466,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6936,44,1,0,28,12,44.15,1,0,-1,0,0,0,0.097534182,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8687,64,0,0,16,3,43.55,3,2,155,0,0,0,0.092232128,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4860,32,1,0,7,7,14.35,1,0,-1,1,0,1,0.073266392,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7198,42,1,0,11,5,1.2,1,7,361,0,1,1,0.070951283,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7678,43,2,0,18,7,5.3,1,0,-1,0,0,0,0.079194887,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2883,41,1,0,2,2,46.4,1,0,-1,0,0,1,0.080429612,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7577,38,2,0,23,10,16.3,2,5,184,0,0,0,0.110698527,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5726,50,1,0,26,5,1.55,2,0,-1,0,0,1,0.087792566,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7682,36,1,0,20,5,10.3,2,0,-1,0,0,1,0.137907868,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2355,29,2,0,7,12,49.6,3,2,283,0,0,1,0.09540065,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6098,37,2,0,13,2,3.05,1,0,-1,0,0,1,0.073956385,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4138,30,2,0,7,4,22.75,4,0,-1,0,0,0,0.075499791,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5364,54,1,0,2,6,12.35,3,0,-1,0,0,0,0.087910591,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7671,46,1,0,17,3,8.4,1,0,-1,0,0,0,0.081646179,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3336,46,1,0,21,11,60.6,2,0,-1,0,0,0,0.07415612,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
530,59,1,0,25,8,10.15,4,0,-1,0,0,0,0.07280337,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7871,59,2,0,16,11,7.6,2,5,187,1,0,1,0.074056253,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
379,54,2,0,3,6,11.7,2,0,-1,0,0,0,0.08179144,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2528,74,1,0,19,10,16.65,3,0,-1,0,0,0,0.109836036,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4710,45,1,0,29,4,18.9,2,0,-1,0,0,0,0.10009442,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7113,30,2,0,13,8,4.75,1,0,-1,0,0,1,0.080084615,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1441,52,1,0,11,5,6.05,2,0,-1,1,0,1,0.073193761,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8286,30,0,0,5,5,12.45,1,0,-1,0,0,1,0.075100321,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2005,55,1,0,8,7,4.75,1,2,82,0,0,1,0.080656583,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1431,30,1,0,7,5,2.3,1,1,170,0,0,1,0.074501117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8012,30,2,0,25,8,6.6,4,0,-1,0,0,0,0.111052603,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3226,31,2,0,13,4,8.85,5,0,-1,0,0,1,0.08187315,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3252,58,1,0,6,8,3.4,2,0,-1,0,0,0,0.083616291,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8864,38,1,0,3,2,32,1,0,-1,0,0,1,0.080992501,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
247,36,1,0,27,8,5.05,2,0,-1,0,0,0,0.073075736,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7817,46,1,0,20,6,1.4,5,0,-1,0,0,0,0.073556915,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4524,32,1,0,20,11,8.15,2,0,-1,0,0,0,0.078777259,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
885,72,2,0,1,7,12.5,2,1,65,0,0,0,0.074001779,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4543,55,2,0,16,7,7.45,6,0,-1,0,0,1,0.188386324,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3548,46,0,0,6,2,3.5,2,1,268,0,0,1,0.079321991,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1722,54,1,0,28,5,19.7,1,0,-1,0,0,1,0.073021263,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
679,45,1,0,16,5,2.85,2,0,-1,0,0,1,0.08290814,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4312,43,1,0,17,6,16.1,5,0,-1,0,0,0,0.076362283,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3183,57,0,0,4,2,3.25,1,6,190,0,0,1,0.06859078,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2554,31,1,0,29,1,19.25,1,0,-1,0,0,0,0.073257313,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4016,29,1,0,16,5,6.05,1,0,-1,0,0,1,0.079903038,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2501,32,2,0,18,10,16.4,2,0,-1,0,0,0,0.081174078,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2276,27,1,0,13,5,7.45,1,3,87,0,0,0,0.07766056,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7654,32,2,0,19,11,7.7,2,1,195,0,0,1,0.076725437,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3810,29,1,0,2,11,1.8,3,0,-1,0,0,0,0.166606141,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4111,34,1,0,20,8,2.65,2,1,85,0,0,1,0.085568246,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4395,31,0,0,21,7,51.45,7,0,-1,1,0,1,0.067928023,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8422,31,1,0,29,5,8.65,3,0,-1,1,0,1,0.07280337,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4050,53,0,0,30,1,5.2,4,0,-1,0,0,0,0.072830607,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2710,52,0,0,6,5,1.7,4,0,-1,1,0,1,0.076725437,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1667,52,1,1,15,5,6.8,4,0,-1,1,0,1,0.082236305,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7308,23,2,0,4,5,13.95,4,0,-1,0,0,0,0.073547837,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5204,37,2,0,21,11,15.8,1,0,-1,0,0,0,0.072903238,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6746,41,2,0,9,2,0.3,9,0,-1,0,0,1,0.080729214,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3132,28,1,1,22,10,7.35,1,0,-1,0,0,0,0.094147768,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3144,57,1,0,21,7,15.6,3,0,-1,1,0,1,0.064650555,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4967,35,1,0,9,7,15.35,1,0,-1,0,0,0,0.078395947,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
727,33,1,0,25,5,9.6,2,2,365,0,0,1,0.074183357,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3155,45,0,0,15,5,0.3,5,1,365,0,0,1,0.073856518,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3094,50,1,1,5,11,7.95,1,0,-1,1,0,0,0.07495506,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
970,27,2,0,29,5,38.95,3,0,-1,0,0,1,0.190429067,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4468,37,2,0,21,5,8.95,2,0,-1,0,0,1,0.082880904,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8921,32,1,1,29,8,5.3,2,0,-1,0,0,0,0.083507345,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7236,55,0,0,14,5,42.2,2,1,360,0,0,0,0.147068436,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1022,71,2,0,24,8,3.15,3,2,200,0,0,0,0.096871425,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6612,33,1,0,6,2,42.5,2,0,-1,0,0,0,0.079131335,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2142,48,1,0,19,8,29.85,7,0,-1,0,0,0,0.092903964,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2063,38,1,0,17,6,34.75,5,0,-1,0,0,0,0.081210393,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3039,28,1,0,14,7,10.8,4,0,-1,1,0,1,0.072866922,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3257,47,1,0,15,4,8.35,1,0,-1,0,1,1,0.07590834,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1805,30,1,0,21,11,27.8,4,0,-1,0,0,1,0.113267844,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2353,30,2,0,4,6,71.95,6,0,-1,1,0,1,0.07773319,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7908,42,1,0,14,5,22.9,2,0,-1,0,0,1,0.084905489,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
412,44,2,1,12,8,9.55,1,2,182,0,0,0,0.089063606,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3028,45,1,0,6,8,19.8,2,0,-1,0,0,0,0.081201315,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
841,52,1,0,8,7,28.7,2,0,-1,0,1,0,0.07280337,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8323,27,1,0,19,5,10.35,2,0,-1,0,0,1,0.107085142,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2169,59,1,0,14,5,55.75,2,0,-1,1,0,1,0.086612315,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6926,34,2,0,15,6,21.55,1,1,56,0,0,1,0.086775734,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3298,52,2,0,20,11,3.35,2,0,-1,1,0,1,0.078595682,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
417,32,2,0,26,8,47.4,6,0,-1,0,0,1,0.095827356,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8365,32,2,0,21,8,38.9,6,0,-1,0,0,0,0.073220998,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5038,50,0,1,5,4,22.3,1,0,-1,0,0,0,0.073547837,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1418,42,0,0,2,2,27.3,2,0,-1,0,0,0,0.079321991,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1316,39,1,1,12,5,12.3,4,0,-1,0,0,0,0.07280337,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8205,53,1,0,15,5,14.25,2,0,-1,0,0,1,0.083498266,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5596,30,2,0,18,3,11.1,2,2,294,0,0,1,0.14624226,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4134,38,2,0,4,6,17.1,1,0,-1,0,0,0,0.120603563,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6011,32,2,0,26,5,9.9,2,2,98,0,0,0,0.075635974,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
7525,26,1,0,9,5,13.6,2,0,-1,0,0,1,0.073230076,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4286,55,0,0,18,6,2.85,1,0,-1,0,0,0,0.079712382,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2404,37,2,1,23,2,17.85,1,6,176,0,0,0,0.141984275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6704,40,1,0,13,5,23.35,3,0,-1,0,0,1,0.073593231,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
